,wlbEntryDate,wlbDiscovery
627,27.01.1990,25/5-3 SKIRNE
628,22.12.1990,25/5-4 BYGGVE
629,27.10.1995,25/5-5 (Tir)
631,25.08.2010,25/5-7 ATLA
633,01.01.2014,25/5-9 (Trell)
634,18.12.1985,25/6-1
638,13.03.2015,25/6-5 S (Skirne Øst)
640,08.02.1990,25/7-2
641,27.07.1995,25/7-3 JOTUN
643,16.07.1997,25/7-5
645,28.04.1970,25/8-1 FORSETI
648,25.07.1992,25/8-4 (D-struktur)
649,21.07.1994,25/8-5 S JOTUN
650,27.07.1997,25/8-5 S JOTUN
655,22.08.1995,25/8-8 S JOTUN
656,05.01.1997,25/8-9
658,29.04.1997,25/8-10 S RINGHORNE
659,16.10.1997,25/8-11 RINGHORNE
663,21.08.2003,25/8-14 S
666,10.04.2009,25/8-16 S (Eitri)
667,09.10.2009,25/8-17 JETTE
684,17.02.1997,25/10-8 HANZ
688,22.02.2011,25/10-11
693,18.10.1966,25/11-1 BALDER
708,10.11.1991,25/11-15 GRANE
709,29.06.1992,25/11-16 SVALIN
719,18.02.2007,25/11-24 (Jakob Sør)
721,20.01.2008,25/11-25 S SVALIN
723,04.05.2013,25/11-27
729,20.01.2015,26/10-1 (Zulu Øst)
730,20.05.1986,29/3-1
731,12.10.1981,29/6-1
733,17.05.1982,30/2-1 HULDRA
740,02.09.1980,30/3-2  VESLEFRIKK
745,26.12.1993,30/3-6 S
746,13.10.1997,30/3-7 A
747,20.05.1998,30/3-7 B
748,05.11.2001,30/3-7 B
749,21.09.1995,30/3-7 S
752,24.04.2000,30/3-9
756,16.06.2016,30/4-3 S
759,15.04.2009,30/5-3 A
760,06.02.2009,30/5-3 S (Corvus)
761,18.06.1979,30/6-1 OSEBERG
765,11.06.1981,30/6-5 OSEBERG ØST
769,28.08.1982,30/6-9
770,09.05.1990,30/6-9
777,17.12.1983,30/6-14
778,02.05.1984,30/6-15 OSEBERG VEST
779,09.11.1984,30/6-16
780,12.08.1985,30/6-17
781,04.02.1986,30/6-17
782,14.11.1985,30/6-17
783,01.08.1985,30/6-18 KAPPA
784,09.04.1986,30/6-19 BETA SADEL
785,15.05.1994,30/6-19 BETA SADEL
795,15.09.2001,30/6-26 GAMMA VEST
796,08.10.2001,30/6-27
797,16.01.2012,30/6-28 S
800,06.08.1975,30/7-2
805,18.04.1978,30/7-6 MARTIN LINGE
