wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
7/11-7 R,7/11-7,Phillips Petroleum Company Norway,018 ,WILDCAT,RE-CLASS TO DEV,OIL,EXPLORATION, NO,29.09.1984,08.10.1984,COD,359-L2,7/11-1 COD,NO,168.0,NH CN 82-124 SP 377,0.0,41.8,4661.0,4927.0,70.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,COD,JACKET 8 LEGS,FIXED,1-A,NO,WILDCAT,1984,1984,7/11-A-6   ,COMPLETION,5,FORTIES FM,PALEOCENE,ULA FM,LATE JURASSIC,                    ,                    ,10,YES,ED50  ,57,4,10.04,N,2,26,4.82,E,57.069456,2.434672,6325401.22,465720.08,31,7,11, ,7,R,, ,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=519,http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=519,re-entry            ,7/11-7                                  ,15.02.2006,08.10.1986,519,44960.0,43785.0,271693,837,20900,29.04.2016,29.04.2016,21.10.2016
30/3-7 BR,30/3-7,Statoil ASA (old),052 ,WILDCAT,RE-CLASS TO DEV,OIL,EXPLORATION, NO,05.11.2001,17.11.2001,VESLEFRIKK,910-L2,30/3-7 B,NO,151.0,Line 229/CDP 753,0.0,56.0,4217.0,5970.0,175.0,,EARLY JURASSIC      ,COOK FM             ,NORTH SEA,VESLEFRIKK A,JACKET 4 LEGS,FIXED,4,NO,WILDCAT,2001,2001,30/3-A-23   ,PLUGGING,5,BRENT GP,MIDDLE JURASSIC,COOK FM,EARLY JURASSIC,                    ,                    ,13,YES,ED50  ,60,46,57.98,N,2,53,51.95,E,60.782772,2.897764,6738755.54,494432.48,31,30,3, ,7,BR,, ,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4453,http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=4453,re-entry            ,30/3-7 B                                ,07.11.2005,17.11.2003,4453,46322.0,43618.0,277321,4645,21212,29.04.2016,29.04.2016,21.10.2016
