wlbWellboreName,wlbWell,wlbPurpose,wlbEntryDate,wlbField,wlbDiscovery,wlbMainArea,wlbReclassFromWellbore,wlbReentry,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField
1/2-1,1/2-1,WILDCAT,20.03.1989,BLANE,1/2-1 BLANE,NORTH SEA,,NO,1382,43814.0,3437650.0
1/2-2,1/2-2,WILDCAT,14.12.2005,,,NORTH SEA,,NO,5192,,
1/3-1,1/3-1,WILDCAT,06.07.1968,,1/3-1,NORTH SEA,,NO,154,43820.0,
1/3-2,1/3-2,WILDCAT,14.05.1969,,,NORTH SEA,,NO,165,,
1/3-3,1/3-3,WILDCAT,22.08.1982,TAMBAR,1/3-3 TAMBAR,NORTH SEA,,NO,87,43826.0,1028599.0
1/3-4,1/3-4,WILDCAT,15.02.1983,TAMBAR,1/3-3 TAMBAR,NORTH SEA,,NO,2,43826.0,1028599.0
1/3-5,1/3-5,WILDCAT,01.10.1984,,,NORTH SEA,,NO,223,,
1/3-6,1/3-6,WILDCAT,11.03.1991,OSELVAR,1/3-6 OSELVAR,NORTH SEA,,NO,1521,43832.0,5506919.0
1/3-8,1/3-8,WILDCAT,12.12.1996,,,NORTH SEA,,NO,2829,,
1/3-11,1/3-11,WILDCAT,28.05.2008,,1/3-11 (Ipswich),NORTH SEA,,NO,5806,4999216.0,
1/3-12 S,1/3-12,WILDCAT,01.12.2009,,,NORTH SEA,,NO,6260,,
1/5-1,1/5-1,WILDCAT,12.10.1973,,,NORTH SEA,,NO,237,,
1/5-2,1/5-2,WILDCAT,19.10.1973,FLYNDRE,1/5-2 FLYNDRE,NORTH SEA,,NO,238,43838.0,24635035.0
1/5-3 S,1/5-3,WILDCAT,10.06.1998,,1/5-3 S,NORTH SEA,,NO,3257,3000726.0,
1/5-4 S,1/5-4,WILDCAT,15.04.2002,,,NORTH SEA,,NO,4521,,
1/5-5,1/5-5,WILDCAT,24.02.2016,,,NORTH SEA,,NO,7874,,
1/6-1,1/6-1,WILDCAT,10.07.1972,ALBUSKJELL,1/6-1 ALBUSKJELL,NORTH SEA,,NO,239,43844.0,43437.0
1/6-2,1/6-2,WILDCAT,28.11.1972,,,NORTH SEA,,NO,240,,
1/6-4,1/6-4,WILDCAT,29.12.1975,,,NORTH SEA,,NO,242,,
1/6-5,1/6-5,WILDCAT,20.07.1990,,,NORTH SEA,,NO,1508,,
1/6-6,1/6-6,WILDCAT,10.02.1992,,,NORTH SEA,,NO,1839,,
1/6-7,1/6-7,WILDCAT,16.03.1992,,,NORTH SEA,,NO,1928,,
1/9-1,1/9-1,WILDCAT,14.10.1976,,1/9-1 TOMMELITEN ALPHA,NORTH SEA,,NO,243,43850.0,
1/9-1 R,1/9-1,WILDCAT,08.05.1987,,1/9-1 TOMMELITEN ALPHA,NORTH SEA,,YES,1444,43850.0,
1/9-4,1/9-4,WILDCAT,13.08.1977,TOMMELITEN GAMMA,1/9-4 TOMMELITEN GAMMA,NORTH SEA,,NO,247,43856.0,43444.0
1/9-4 R,1/9-4,WILDCAT,21.04.1991,TOMMELITEN GAMMA,1/9-4 TOMMELITEN GAMMA,NORTH SEA,,YES,1727,43856.0,43444.0
1/9-7,1/9-7,WILDCAT,22.03.2003,,1/9-1 TOMMELITEN ALPHA,NORTH SEA,,NO,4652,43850.0,
2/1-1,2/1-1,WILDCAT,28.08.1972,,,NORTH SEA,,NO,249,,
2/1-2,2/1-2,WILDCAT,14.12.1977,,,NORTH SEA,,NO,250,,
2/1-3,2/1-3,WILDCAT,03.11.1979,GYDA,2/1-3 GYDA,NORTH SEA,,NO,251,44012.0,43492.0
2/1-5,2/1-5,WILDCAT,13.11.1982,,,NORTH SEA,,NO,63,,
2/1-7,2/1-7,WILDCAT,06.09.1984,,,NORTH SEA,,NO,137,,
2/1-9,2/1-9,WILDCAT,15.04.1991,GYDA,2/1-9 GYDA SØR,NORTH SEA,,NO,1667,44018.0,43492.0
2/1-10,2/1-10,WILDCAT,09.11.1991,,,NORTH SEA,,NO,1865,,
2/1-11,2/1-11,WILDCAT,14.01.1997,,2/1-11,NORTH SEA,,NO,2699,43988.0,
2/1-12,2/1-12,WILDCAT,08.01.1999,,,NORTH SEA,,NO,3648,,
2/1-13 S,2/1-13,WILDCAT,07.11.2008,,,NORTH SEA,,NO,5975,,
2/1-14 S,2/1-14,WILDCAT,07.12.2008,,,NORTH SEA,,NO,5995,,
2/1-15,2/1-15,WILDCAT,18.07.2013,,,NORTH SEA,,NO,7219,,
2/1-16 S,2/1-16,WILDCAT,10.05.2013,,,NORTH SEA,,NO,7180,,
2/2-1,2/2-1,WILDCAT,09.04.1982,,2/2-1 (Møyfrid),NORTH SEA,,NO,46,44024.0,
2/2-2,2/2-2,WILDCAT,04.07.1982,,2/2-2 (Desmond),NORTH SEA,,NO,80,44030.0,
2/2-3,2/2-3,WILDCAT,04.02.1983,,,NORTH SEA,,NO,3,,
2/2-5,2/2-5,WILDCAT,07.11.1991,,2/2-5 (Bumblebee),NORTH SEA,,NO,1846,44036.0,
2/2-6,2/2-6,WILDCAT,27.03.2010,,,NORTH SEA,,NO,6346,,
2/3-1,2/3-1,WILDCAT,10.02.1969,,2/3-1 (Løven),NORTH SEA,,NO,162,44042.0,
2/3-3,2/3-3,WILDCAT,08.10.1971,,,NORTH SEA,,NO,198,,
2/3-4,2/3-4,WILDCAT,28.05.1984,,,NORTH SEA,,NO,129,,
2/4-1,2/4-1,WILDCAT,25.08.1969,,,NORTH SEA,,NO,895,,
2/4-2,2/4-2,WILDCAT,18.09.1969,EKOFISK,2/4-2 EKOFISK,NORTH SEA,,NO,172,44072.0,43506.0
2/4-6,2/4-6,WILDCAT,28.08.1970,VEST EKOFISK,2/4-6 VEST EKOFISK,NORTH SEA,,NO,181,44078.0,43513.0
2/4-10,2/4-10,WILDCAT,13.10.1973,,2/4-10,NORTH SEA,,NO,254,44048.0,
2/4-11,2/4-11,WILDCAT,25.12.1973,,2/4-11 (Espen),NORTH SEA,,NO,255,44054.0,
2/4-12,2/4-12,WILDCAT,28.07.1975,,,NORTH SEA,,NO,256,,
2/4-13,2/4-13,WILDCAT,03.09.1988,,,NORTH SEA,,NO,1313,,
2/4-14,2/4-14,WILDCAT,06.10.1988,,,NORTH SEA,,NO,1343,,
2/4-14 R,2/4-14,WILDCAT,01.05.1989,,,NORTH SEA,,YES,1440,,
2/4-14 R2,2/4-14,WILDCAT,06.04.1990,,,NORTH SEA,,YES,1548,,
2/4-15 S,2/4-15,WILDCAT,31.01.1989,,,NORTH SEA,,NO,1371,,
2/4-15 SR,2/4-15,WILDCAT,03.10.2003,,,NORTH SEA,,YES,4842,,
2/4-16,2/4-16,WILDCAT,07.05.1991,,,NORTH SEA,,NO,1702,,
2/4-16 R,2/4-16,WILDCAT,04.06.1992,,,NORTH SEA,,YES,1956,,
2/4-17,2/4-17,WILDCAT,21.07.1991,,2/4-17 TJALVE,NORTH SEA,,NO,1792,44066.0,
2/4-18,2/4-18,WILDCAT,26.04.1993,,,NORTH SEA,,NO,2134,,
2/4-18 R,2/4-18,WILDCAT,19.02.1994,,,NORTH SEA,,YES,2253,,
2/4-20,2/4-20,WILDCAT,22.09.2007,,,NORTH SEA,,NO,5556,,
2/4-21,2/4-21,WILDCAT,19.01.2012,,2/4-21 (King Lear),NORTH SEA,,NO,6736,21669700.0,
