fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
VISUND,36.30,55.10,6.80,0.00,104.32,9.00,45.60,6.10,0.00,66.19,31.12.2015,43745,21.10.2016
VISUND SØR,2.70,7.50,1.00,0.00,12.10,1.00,5.50,0.80,0.00,8.02,31.12.2015,20461008,21.10.2016
VOLUND,12.50,1.20,0.00,0.00,13.70,4.20,0.40,0.00,0.00,4.60,31.12.2015,4380167,21.10.2016
VOLVE,10.30,1.00,0.20,0.10,11.78,0.50,0.00,0.00,0.00,0.50,31.12.2015,3420717,21.10.2016
YME,7.90,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,31.12.2015,43807,21.10.2016
YTTERGRYTA,0.30,2.20,0.40,0.00,3.26,0.00,0.00,0.00,0.00,0.00,31.12.2015,4973114,21.10.2016
ØST FRIGG,0.00,9.20,0.00,0.10,9.30,0.00,0.00,0.00,0.00,0.00,31.12.2015,43576,21.10.2016
ÅSGARD,103.40,210.00,38.60,17.10,403.84,12.70,57.20,10.60,0.00,90.04,31.12.2015,43765,21.10.2016
AASTA HANSTEEN,0.00,45.50,0.00,0.90,46.40,0.00,45.50,0.00,0.90,46.40,31.12.2015,23395946,21.10.2016

