fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
ALBUSKJELL,7.40,15.50,1.00,0.00,24.80,0.00,0.00,0.00,0.00,0.00,31.12.2015,43437,21.10.2016
ALVE,1.80,6.10,1.00,0.00,9.80,0.30,1.80,0.30,0.00,2.67,31.12.2015,4444332,21.10.2016
ALVHEIM,43.50,8.40,0.00,0.00,51.90,14.60,4.80,0.00,0.00,19.40,31.12.2015,2845712,21.10.2016
ATLA,0.30,1.20,0.00,0.00,1.50,0.10,0.60,0.00,0.00,0.70,31.12.2015,21106284,21.10.2016
BALDER,74.20,1.90,0.00,0.00,76.10,11.40,0.40,0.00,0.00,11.80,31.12.2015,43562,21.10.2016
BLANE,0.80,0.00,0.00,0.00,0.80,0.20,0.00,0.00,0.00,0.20,31.12.2015,3437650,21.10.2016
BRAGE,60.90,5.60,1.80,0.00,69.92,3.90,2.00,0.50,0.00,6.85,31.12.2015,43651,21.10.2016
BRYNHILD,0.90,0.00,0.00,0.00,0.90,0.60,0.00,0.00,0.00,0.60,31.12.2015,21123063,21.10.2016
BØYLA,3.40,0.20,0.00,0.00,3.60,2.60,0.10,0.00,0.00,2.70,31.12.2015,22492497,21.10.2016
COD,2.90,7.30,0.50,0.00,11.15,0.00,0.00,0.00,0.00,0.00,31.12.2015,43785,21.10.2016
DRAUGEN,144.40,1.70,2.90,0.00,151.61,7.50,0.10,0.30,0.00,8.17,31.12.2015,43758,21.10.2016
EDDA,4.80,2.00,0.20,0.00,7.18,0.00,0.00,0.00,0.00,0.00,31.12.2015,43541,21.10.2016
EDVARD GRIEG,26.20,1.80,0.50,0.00,28.95,26.00,1.80,0.50,0.00,28.75,31.12.2015,21675433,21.10.2016
EKOFISK,545.60,158.80,14.50,0.00,731.95,86.50,14.40,1.20,0.00,103.18,31.12.2015,43506,21.10.2016
ELDFISK,131.20,42.40,3.80,0.00,180.82,24.40,2.20,-0.20,0.00,26.22,31.12.2015,43527,21.10.2016
EMBLA,12.80,5.90,0.70,0.00,20.03,2.00,1.90,0.20,0.00,4.28,31.12.2015,43534,21.10.2016
ENOCH,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,31.12.2015,3437659,21.10.2016
FLYNDRE,0.40,0.10,0.00,0.00,0.50,0.40,0.10,0.00,0.00,0.50,31.12.2015,24635035,21.10.2016
FRAM,37.00,11.50,1.00,0.00,50.40,6.30,7.20,0.60,0.00,14.64,31.12.2015,1578840,21.10.2016
FRAM H-NORD,0.70,0.00,0.00,0.00,0.70,0.30,0.00,0.00,0.00,0.30,31.12.2015,23410947,21.10.2016
FRIGG,0.00,116.20,0.00,0.50,116.70,0.00,0.00,0.00,0.00,0.00,31.12.2015,43555,21.10.2016
FRØY,5.60,1.60,0.00,0.10,7.30,0.00,0.00,0.00,0.00,0.00,31.12.2015,43597,21.10.2016
GAUPE,0.20,0.40,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,31.12.2015,18161341,21.10.2016
GIMLE,2.90,0.90,0.20,0.00,4.18,0.00,0.10,0.00,0.00,0.10,31.12.2015,4005142,21.10.2016
GINA KROG,16.90,12.00,3.30,0.00,35.17,16.90,12.00,3.30,0.00,35.17,31.12.2015,23384544,21.10.2016
GJØA,13.20,35.70,8.80,0.00,65.62,3.40,19.50,5.20,-0.80,31.98,31.12.2015,4467574,21.10.2016
GLITNE,8.90,0.00,0.00,0.00,8.90,0.00,0.00,0.00,0.00,0.00,31.12.2015,1272071,21.10.2016
GOLIAT,28.50,0.00,0.00,0.00,28.50,28.50,0.00,0.00,0.00,28.50,31.12.2015,5774394,21.10.2016
GRANE,143.70,0.00,0.00,0.00,143.70,41.40,0.00,0.00,0.00,41.40,31.12.2015,1035937,21.10.2016
GUDRUN,11.90,6.20,1.40,0.00,20.76,7.70,4.00,1.00,0.00,13.60,31.12.2015,18116481,21.10.2016
GULLFAKS,377.00,23.10,2.80,0.00,405.42,16.40,0.00,0.00,0.00,16.40,31.12.2015,43686,21.10.2016
GULLFAKS SØR,62.40,84.80,12.10,0.00,170.19,13.80,42.50,6.70,0.00,69.03,31.12.2015,43699,21.10.2016
GUNGNE,0.20,15.10,2.10,4.50,23.79,0.10,0.50,0.10,0.10,0.89,31.12.2015,43464,21.10.2016
GYDA,36.20,6.30,1.90,0.00,46.11,0.20,0.10,0.00,0.00,0.30,31.12.2015,43492,21.10.2016
HANZ,2.30,0.40,0.10,0.00,2.89,2.30,0.40,0.10,0.00,2.89,31.12.2015,25307278,21.10.2016
HEIDRUN,186.00,49.00,2.50,0.00,239.75,34.50,32.10,2.00,0.00,70.40,31.12.2015,43771,21.10.2016
HEIMDAL,6.50,45.20,0.00,0.00,51.70,0.00,0.00,0.00,0.00,0.00,31.12.2015,43590,21.10.2016
HOD,10.30,1.80,0.50,0.00,13.05,0.70,0.10,0.20,0.00,1.18,31.12.2015,43485,21.10.2016
HULDRA,5.20,17.30,0.10,0.00,22.69,0.00,0.00,0.00,0.00,0.00,31.12.2015,97002,21.10.2016
HYME,4.20,0.60,0.20,0.00,5.18,2.60,0.40,0.10,0.00,3.19,31.12.2015,20474183,21.10.2016
ISLAY,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,31.12.2015,21105675,21.10.2016
IVAR AASEN,23.30,4.40,0.90,0.00,29.41,23.30,4.40,0.90,0.00,29.41,31.12.2015,23384520,21.10.2016
JETTE,0.50,0.00,0.00,0.00,0.50,0.10,0.00,0.00,0.00,0.10,31.12.2015,21613906,21.10.2016
JOHAN SVERDRUP,279.50,8.50,3.70,0.00,295.03,279.50,8.50,3.70,0.00,295.03,31.12.2015,26376286,21.10.2016
JOTUN,23.20,1.10,0.00,0.00,24.30,0.10,0.20,0.00,0.00,0.30,31.12.2015,43604,21.10.2016
KNARR,8.90,0.20,0.60,0.00,10.24,7.60,0.10,0.50,0.00,8.65,31.12.2015,20460988,21.10.2016
KRISTIN,23.10,29.50,6.10,2.10,66.29,3.80,6.80,1.30,0.00,13.07,31.12.2015,1854729,21.10.2016
KVITEBJØRN,32.30,94.70,11.50,0.00,148.85,8.80,35.00,6.50,0.00,56.15,31.12.2015,1036101,21.10.2016
LILLE-FRIGG,1.30,2.20,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,31.12.2015,43583,21.10.2016
MARIA,25.00,2.50,2.00,0.00,31.30,25.00,2.50,2.00,0.00,31.30,31.12.2015,26465170,21.10.2016
MARTIN LINGE,5.90,19.50,1.50,3.40,31.65,5.90,19.50,1.50,3.40,31.65,31.12.2015,21675447,21.10.2016
MARULK,0.50,6.60,0.60,0.00,8.24,0.30,3.30,0.30,0.00,4.17,31.12.2015,18212090,21.10.2016
MIKKEL,6.20,32.80,8.90,2.20,58.11,2.20,13.60,3.70,0.00,22.83,31.12.2015,1630514,21.10.2016
MIME,0.40,0.10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,31.12.2015,43792,21.10.2016
MORVIN,10.10,4.70,1.20,0.00,17.08,3.50,2.20,0.70,0.00,7.03,31.12.2015,4966234,21.10.2016
MURCHISON,13.90,0.30,0.30,0.00,14.77,0.00,0.00,0.00,0.00,0.00,31.12.2015,43665,21.10.2016
NJORD,29.60,18.50,4.60,0.00,56.84,3.00,8.50,2.40,0.00,16.06,31.12.2015,43751,21.10.2016
NORDØST FRIGG,0.00,11.60,0.00,0.10,11.70,0.00,0.00,0.00,0.00,0.00,31.12.2015,43568,21.10.2016
NORNE,91.30,10.60,1.30,0.00,104.37,2.20,3.60,0.50,0.00,6.75,31.12.2015,43778,21.10.2016
ODIN,0.00,27.30,0.00,0.20,27.50,0.00,0.00,0.00,0.00,0.00,31.12.2015,43610,21.10.2016
ORMEN LANGE,0.00,296.40,0.00,18.90,315.30,0.00,139.30,0.00,7.30,146.60,31.12.2015,2762452,21.10.2016
OSEBERG,401.70,122.50,12.80,0.00,548.52,31.00,79.30,3.50,0.00,116.95,31.12.2015,43625,21.10.2016
OSEBERG SØR,67.20,21.30,2.20,0.00,92.68,16.80,11.00,1.20,0.00,30.08,31.12.2015,43645,21.10.2016
OSEBERG ØST,28.20,0.40,0.10,0.00,28.79,8.30,0.10,0.10,0.00,8.59,31.12.2015,43639,21.10.2016
OSELVAR,0.90,0.50,0.00,0.00,1.40,0.40,0.20,0.00,0.00,0.60,31.12.2015,5506919,21.10.2016
REV,0.80,2.60,0.00,0.00,3.40,0.10,0.00,0.00,0.00,0.10,31.12.2015,4467554,21.10.2016
RINGHORNE ØST,15.70,0.30,0.00,0.00,16.00,4.40,0.10,0.00,0.00,4.50,31.12.2015,3505505,21.10.2016
SIGYN,0.80,7.60,2.70,5.80,19.33,0.70,0.80,0.20,-0.30,1.58,31.12.2015,1630100,21.10.2016
SKARV,17.90,43.80,5.00,0.00,71.20,9.30,33.20,3.80,0.00,49.72,31.12.2015,4704482,21.10.2016
SKIRNE,2.30,10.10,0.00,0.00,12.40,0.30,0.00,0.00,0.00,0.30,31.12.2015,2138816,21.10.2016
SKULD,5.10,0.30,0.10,0.00,5.59,2.50,0.10,0.00,0.00,2.60,31.12.2015,21350124,21.10.2016
SLEIPNER VEST,3.60,137.00,9.90,29.70,189.11,2.10,9.90,0.70,0.10,13.43,31.12.2015,43457,21.10.2016
SLEIPNER ØST,0.20,67.80,13.30,26.60,119.87,0.10,0.40,0.10,-0.20,0.49,31.12.2015,43478,21.10.2016
SNORRE,267.50,6.60,4.80,0.00,283.22,65.10,0.30,0.10,0.00,65.59,31.12.2015,43718,21.10.2016
SNØHVIT,0.00,224.40,7.70,26.40,265.43,0.00,189.10,5.90,20.50,220.81,31.12.2015,2053062,21.10.2016
STATFJORD,576.10,81.40,22.60,1.60,702.04,5.60,9.80,4.00,0.60,23.60,31.12.2015,43658,21.10.2016
STATFJORD NORD,42.40,2.20,1.10,0.00,46.69,5.20,-0.10,0.30,0.00,5.67,31.12.2015,43679,21.10.2016
STATFJORD ØST,37.70,4.10,2.10,0.00,45.79,0.80,0.00,0.70,0.00,2.13,31.12.2015,43672,21.10.2016
SVALIN,7.70,0.00,0.00,0.00,7.70,4.70,0.00,0.00,0.00,4.70,31.12.2015,22507971,21.10.2016
SYGNA,11.20,0.00,0.00,0.00,11.20,1.10,0.00,0.00,0.00,1.10,31.12.2015,104718,21.10.2016
TAMBAR,10.20,2.20,0.50,0.00,13.35,0.50,0.10,0.30,0.00,1.17,31.12.2015,1028599,21.10.2016
TAMBAR ØST,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,31.12.2015,4999528,21.10.2016
TOMMELITEN GAMMA,3.90,9.70,0.60,0.00,14.74,0.00,0.00,0.00,0.00,0.00,31.12.2015,43444,21.10.2016
TOR,24.50,10.90,1.20,0.00,37.68,0.00,0.00,0.00,0.00,0.00,31.12.2015,43520,21.10.2016
TORDIS,65.30,4.80,1.80,0.00,73.52,7.70,0.50,0.20,0.00,8.58,31.12.2015,43725,21.10.2016
TROLL,280.40,1432.80,24.90,1.50,1762.01,31.20,891.60,16.20,-2.80,950.78,31.12.2015,46437,21.10.2016
TRYM,1.60,4.00,0.00,0.00,5.60,0.40,1.50,0.00,0.00,1.90,31.12.2015,18081500,21.10.2016
TUNE,3.30,18.50,0.20,0.00,22.18,-0.20,-1.00,0.00,0.00,-1.20,31.12.2015,853376,21.10.2016
TYRIHANS,35.20,42.80,7.80,0.00,92.82,9.80,38.80,7.00,0.00,61.90,31.12.2015,3960848,21.10.2016
ULA,83.20,3.90,3.20,0.00,93.18,9.30,0.00,0.50,0.00,10.25,31.12.2015,43800,21.10.2016
URD,7.50,0.40,0.10,0.00,8.09,1.60,0.10,0.00,0.00,1.70,31.12.2015,2834734,21.10.2016
VALE,2.50,2.50,0.00,0.00,5.00,0.50,0.70,0.00,0.00,1.20,31.12.2015,1578893,21.10.2016
VALEMON,4.70,24.30,1.20,0.00,31.28,4.40,22.80,1.20,0.00,29.48,31.12.2015,20460969,21.10.2016
VALHALL,144.80,26.90,5.00,0.00,181.20,32.50,5.20,1.50,0.00,40.55,31.12.2015,43548,21.10.2016
VARG,16.30,0.30,0.00,0.00,16.60,0.10,0.10,0.00,0.00,0.20,31.12.2015,43451,21.10.2016
VEGA,8.20,16.90,6.20,0.00,36.88,3.40,10.20,4.60,-0.40,21.94,31.12.2015,4467595,21.10.2016
VESLEFRIKK,54.80,4.90,1.70,0.00,62.93,1.00,1.80,0.20,0.00,3.18,31.12.2015,43618,21.10.2016
VEST EKOFISK,12.20,26.00,1.40,0.00,40.86,0.00,0.00,0.00,0.00,0.00,31.12.2015,43513,21.10.2016
VIGDIS,69.20,1.90,1.30,0.00,73.57,11.40,0.00,0.30,0.00,11.97,31.12.2015,43732,21.10.2016
VILJE,13.40,0.00,0.00,0.00,13.40,2.80,-0.50,0.00,0.00,2.30,31.12.2015,3392471,21.10.2016
