dscName,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscDateOffResEstDisplay,dscNpdidDiscovery,dscReservesDateUpdated,DatesyncNPD
 1/9-1 TOMMELITEN ALPHA,5F,8.29,14.56,0.55,0.00,23.89,31.12.2015,43850,,21.10.2016
 15/12-21 (Grevling),5F,7.69,0.11,0.00,0.00,7.80,31.12.2015,5490719,,21.10.2016
 15/5-2 EIRIN,5F,0.00,6.11,0.12,0.31,6.64,31.12.2015,43898,,21.10.2016
 15/6-13,7F,0.44,0.71,0.00,0.13,1.28,31.12.2015,26443908,,21.10.2016
 15/8-1 (Alpha),4F,2.57,3.16,0.93,0.00,7.50,31.12.2015,43916,,21.10.2016
 16/1-12 (Rolvsnes),5F,5.08,0.45,0.19,0.00,5.90,31.12.2015,17196400,25.02.2016,21.10.2016
 16/1-14 (Apollo),5F,5.18,0.17,0.07,0.00,5.50,31.12.2015,18437181,,21.10.2016
 16/2-3 (Ragnarock),7F,2.90,0.40,0.00,0.00,3.30,31.12.2015,4527337,,21.10.2016
 16/2-4,7F,1.37,0.18,0.68,0.08,2.93,31.12.2015,17237080,25.02.2016,21.10.2016
 16/2-5,7F,0.00,1.90,0.00,0.20,2.10,31.12.2015,5490457,,21.10.2016
 16/4-6 S (Luno II),5F,6.39,1.87,0.00,0.00,8.26,31.12.2015,23295901,,21.10.2016
 16/4-6 S (Luno II),7F,2.20,0.60,0.00,0.00,2.80,31.12.2015,23295901,,21.10.2016
 17/12-1 VETTE,4F,7.38,0.06,0.00,0.00,7.44,31.12.2015,43964,,21.10.2016
 18/10-1 (Mackerel),5F,1.22,0.00,0.00,0.00,1.22,31.12.2015,43982,,21.10.2016
 2/12-1 MJØLNER,4F,4.32,0.84,0.00,0.00,5.17,31.12.2015,44006,,21.10.2016
 2/4-17 TJALVE,7F,0.59,0.84,0.00,0.00,1.42,31.12.2015,44066,,21.10.2016
 2/4-21 (King Lear),7F,0.00,8.10,0.00,5.50,13.60,31.12.2015,21669700,,21.10.2016
 2/4-22 S (Romeo),7F,0.94,0.31,0.00,0.00,1.25,31.12.2015,26264813,,21.10.2016
 2/4-23 S (Julius),7F,0.00,4.75,0.00,2.28,7.03,31.12.2015,26463461,,21.10.2016
 2/5-3 (Sørøst Tor),5F,3.10,0.87,0.00,0.00,3.97,31.12.2015,44090,,21.10.2016
 24/9-10 S (Caterpillar),5F,1.19,0.10,0.00,0.00,1.29,31.12.2015,20415286,,21.10.2016
 25/1-11 R (Storklakken),5F,1.74,0.00,0.00,0.00,1.74,31.12.2015,18086221,25.02.2016,21.10.2016
